Математика;100;2 + 2 = ?;4
Математика;200;В средах разной кислотности один химический индикатор окрашивается в различные цвета, но в нейтральной сохраняет первоначальный цвет. Благодаря этой особенности студенты-химики придумали выражение, ставшее крылатым и означающее безразличие к заявленной теме. О каком выражении речь?;Мне все фиолетово
Математика;300;ВОПРОС;ОТВЕТ
Математика;400;ВОПРОС;ОТВЕТ
Математика;500;ВОПРОС;ОТВЕТ
Литература;100;ВОПРОС;ОТВЕТ
Литература;200;ВОПРОС;ОТВЕТ
Литература;300;ВОПРОС;ОТВЕТ
Литература;400;3 + 5 = ?;8
Литература;500;ВОПРОС;ОТВЕТ
Биология;100;У какого животного есть хобот?;Слон
Биология;200;ВОПРОС;ОТВЕТ
Биология;300;ВОПРОС;ОТВЕТ
Биология;400;ВОПРОС;ОТВЕТ
Биология;500;ВОПРОС;ОТВЕТ
География;100;Какая столица Франции?;Париж
География;200;ВОПРОС;ОТВЕТ
География;300;ВОПРОС;ОТВЕТ
География;400;ВОПРОС;ОТВЕТ
География;500;Какая столица Австралии?;Канберра
Искусство;100;ВОПРОС;ОТВЕТ
Искусство;200;ВОПРОС;ОТВЕТ
Искусство;300;ВОПРОС;ОТВЕТ
Искусство;400;ВОПРОС;ОТВЕТ
Искусство;500;ВОПРОС;ОТВЕТ
Спорт;100;ВОПРОС;ОТВЕТ
Спорт;200;ВОПРОС;ОТВЕТ
Спорт;300;ВОПРОС;ОТВЕТ
Спорт;400;ВОПРОС;ОТВЕТ
Спорт;500;ВОПРОС;ОТВЕТ
